hyNo,c_HYNAME,j_HYNAME
352,主藏我靈,不思議なる神　主イエス
353,在主十架下,十字架のもとで
354,只要信他,ただ信ぜよ
355,平安永在我心,我が心に安らぎあり
356,信心使我得勝,世に勝つ信仰
357,主耶和華是我牧者,主は我が牧者
358,基督活在我心,我が内に主住み給う
359,同心前往錫安,心合わせシオンへ
360,你心可有住處為主？,心を開いて
361,領我到髑髏地,主のカルバリ
362,求主擘生命餅,命のパン祝して
363,堅立在應許上,御約束の上に
364,主話語深藏我心,真の御言葉　心深くに
365,救主受難,受難の主
366,照主旨意行,御旨に従う
367,祂看顧麻雀,主は雀を顧み給う
368,快傳福音,伝えようシオンの民よ
369,在各各他,主のゴルゴダ
370,主幫助我們,神が味方であるなら
371,面臨試煉時候,試練の時
372,降百福甘霖,御恵みの雨受けて
373,只要相信,信じる　信じる
374,求永恆君王前導,変らぬ主導き給う
375,主呼召你,悲しむ人は幸いなり
376,堅固磐石,岩こそイエス
377,主常常顧念我,主顧みたまえば
378,信靠順服,まことの弟子なりき
379,轉眼仰望耶穌,主イエスを仰げ
380,我主是我生命標竿,主はよりどころよ
381,我何等愛耶穌,我が愛する御名
382,我靈安穩,我が霊やすきに満つ
383,將有一天,来る日
384,我願效法耶穌,主と同じ姿に
385,救 贖,贖われて
386,我得一友,我には良き友ありて
387,求主對我述說,主の御働きに
388,靠近耶穌慈懷,主のふところ
389,親近，更親近,主の近くへ
390,主！我願更親近祢,主と親しむは
391,永不孤單,我ひとりにあらず
132甲 ,求主蔭蔽（甲),我が魂を愛するイエス（甲)
132乙 ,求主蔭蔽（乙),我が魂を愛するイエス（乙)
133,耶穌不改變,変わりなき主イエス
134,仰望救主,救いの主仰がん
135,為什麼忙？,何を忙しく
136,我知所信的是誰,何故御神は
137,主是我良友,我が友にます
138,我所信有根基,ゆらぐことあらじ
139,聞主過路,ナザレのイエス来たり
140,救主明白你憂傷,主知り給う
141,永樂或永苦？,あなたはいつまで
142,靠主消除憂傷,汝が憂い消え去らん
143,我要投靠主,全ての寄り所
144,專心仰賴主,御神に信頼するべし
145,依靠耶穌,主は我が助け
146,時刻靠主,恵み深き主
147,先求神國神義,まず求めよ
148,耶穌牧我,主は飼い主
149,安息在主膀臂中,主の御手に頼れ
150,善牧看顧,主は羊飼い
151,天父必看顧你,神は守り給わん
152,主必預備,主は備えてくださる
153,時刻交托主,主にまかせよ
154,耶穌是我堅固保障,神は我が櫓
155,主常看顧我,我が主は我が逃れ場
156,與主同行,主の愛の中で
157,神國在心,主共にいませば
158,走在主路上,嬉しや荒野にも
159,主賜真平安,我れやすし
160,真光在心,命の光に
161,在主蔭下,信じて身を寄せる
162,主負我重擔,主にすがる我れに
163,我靈魂永安樂,心やすし
164,主恩夠用,わたしの恵みは十分
